Latitude,Longitude
28.69586,77.27013
28.61806,77.11117
28.61472,77.32071
28.51144,77.18319
28.7055,77.28181
28.67066,77.28239
28.67807,77.3221
28.65292,77.04122
28.58849,77.08553
28.69388,77.07622
28.6935997,77.30729675
28.69481,77.28499
28.69486,77.18916
28.63448,77.08722
28.69128,77.18655
28.72583771,77.14941406
28.7083,77.1778
28.6242,76.97005
28.60955048,77.13967133
28.55489922,77.19190216
28.73536,77.11355
28.64872,77.17934
28.66080093,77.10079956
28.72595,77.09661
28.69639969,77.12709808
28.68734,77.25825
28.64500046,77.24500275
28.52748,77.25051
28.61693,77.08136
28.6763134,77.22497559
28.72583771,77.14941406
28.6935997,77.30729675
28.6763134,77.22497559
28.6827,77.02281
28.60955048,77.13967133
28.68885,77.19327
28.60955048,77.13967133
28.60592,77.29947
28.70318,77.25692
28.61472,77.32071
28.69158,77.06605
28.68024,77.21963
28.58995056,77.04006958
28.67137,77.05776
28.5994,76.97374
28.68959045,77.27802277
28.64322,77.21753
28.72647,77.21648
28.64500046,77.24500275
28.6935997,77.30729675
28.63999939,77.29000092
28.6341095,77.21691132
28.6341095,77.21691132
28.58917046,77.25417328
28.6935997,77.30729675
28.66914,77.29591
28.69247,77.28826
28.6763134,77.22497559
28.64500046,77.24500275
28.75836945,77.28392792
28.6304,77.30285
28.55489922,77.19190216
28.69118,77.28983
28.64379,77.21486
28.6763134,77.22497559
28.68956,77.09648
28.69156,77.09257
28.6763134,77.22497559
28.6763134,77.22497559
28.63721,77.18239
28.62538,76.96695
28.72687,77.16421
28.6341095,77.21691132
28.55489922,77.19190216
28.69446945,77.04460907
28.54651,77.25139
28.65745,77.20764
28.6341095,77.21691132
28.70476,77.10124
28.70015,77.0457
28.7443,77.20035
28.62198067,77.05525208
28.60955048,77.13967133
28.71453,77.2646
28.6763134,77.22497559
28.68603,77.07007
28.6763134,77.22497559
28.6826992,77.27118683
28.59023,77.07032
28.68226,77.29477
28.57417,77.20318
28.6982,77.07197
28.55489922,77.19190216
28.70448,77.061
28.70285,77.28334
28.6935997,77.30729675
28.6763134,77.22497559
28.6341095,77.21691132
28.59989,76.98461
28.72465,77.08881
28.6341095,77.21691132
28.6244,77.28462
28.60955048,77.13967133
28.66692,77.2922
28.64872,77.17934
28.58995056,77.04006958
28.60363,76.97243
28.7015,77.31707
28.55761909,76.99859619
28.72411,77.16682
28.57365,77.20267
28.6341095,77.21691132
28.68115,77.26
28.52582,77.08314
28.72583771,77.14941406
28.62015,77.2365
28.58995056,77.04006958
28.68885,77.19327
28.72508,77.16521
28.68956,77.09648
28.6341095,77.21691132
28.68028,77.21938
28.76387,77.20435
28.70307,77.06517
28.69223,77.30127
28.69639969,77.12709808
28.69398,77.0759
28.6763134,77.22497559
28.6763134,77.22497559
28.58995056,77.04006958
28.53262,77.25347
28.68959045,77.27802277
28.6341095,77.21691132
28.71501,77.25862
28.70046,77.13201
28.71967,77.17086
28.57586,77.20205
28.69639969,77.12709808
28.65228,77.2328
28.69639969,77.12709808
28.63999939,77.29000092
28.76584,77.20614
28.63693,77.04422
28.67729,77.30186
28.64500046,77.24500275
28.71967,77.17086
28.72257,77.14553
28.62721,77.07678
28.6763134,77.22497559
28.75315,77.15027
28.68591,77.07124
28.6935997,77.30729675
28.58995056,77.04006958
28.68843,77.29948
28.63999939,77.29000092
28.6341095,77.21691132
28.6935997,77.30729675
28.76764,77.18622
28.60955048,77.13967133
28.6341095,77.21691132
28.66080093,77.10079956
28.6763134,77.22497559
28.60955048,77.13967133
28.55489922,77.19190216
28.61622,77.08238
28.70124,77.30618
28.67276,77.27514
28.6665,77.05649
28.69707,77.26549
28.64500046,77.24500275
28.69639969,77.12709808
28.69639969,77.12709808
28.59143,77.08671
28.69007,77.31396
28.63286972,77.22097778
28.72457,77.21669
28.62593,77.29955
28.6341095,77.21691132
28.7083,77.1778
28.63999939,77.29000092
28.69293,77.1271
28.67159,77.05858
28.64281,76.9582
28.6935997,77.30729675
28.69001,77.30814
28.64376,77.23136
28.63385,77.20026
28.58995056,77.04006958
28.70106,77.08285
28.6763134,77.22497559
28.70112,77.0802
28.61642,77.31696
28.6341095,77.21691132
28.6901,77.2699
28.5335,77.19934
28.60955048,77.13967133
28.66392,77.0922
28.63468,77.1107
28.63999939,77.29000092
28.71743,77.05585
28.6763134,77.22497559
28.55489922,77.19190216
28.58995056,77.04006958
28.71668,77.28583
28.65292,77.04122
28.6935997,77.30729675
28.67126,77.25771
28.68742,77.09607
28.60955048,77.13967133
28.6341095,77.21691132
28.6826992,77.27118683
28.64500046,77.24500275
28.64894,77.28116
28.58995056,77.04006958
28.62782,77.28319
28.6341095,77.21691132
28.60955048,77.13967133
28.69056,77.04182
28.69639969,77.12709808
